Question,Your_Answer,Round,TimeStamp
357 + 285 = ,642, 1,28/8/2017 3:19:15 PM
438 + 209 = ,647, 1,28/8/2017 3:19:15 PM
694 - 295 = ,399, 1,28/8/2017 3:19:15 PM
110 + 208 = ,318, 1,28/8/2017 3:19:15 PM
419 + 313 = ,732, 1,28/8/2017 3:19:15 PM
543 - 122 = ,421, 1,28/8/2017 3:19:15 PM
898 - 113 = ,785, 1,28/8/2017 3:19:15 PM
719 - 387 = ,332, 1,28/8/2017 3:19:15 PM
818 - 421 = ,397, 1,28/8/2017 3:19:15 PM
755 - 582 = ,173, 1,28/8/2017 3:19:15 PM
285 + 654 = ,939, 1,28/8/2017 3:19:15 PM
447 + 300 = ,747, 1,28/8/2017 3:19:15 PM
100 + 824 = ,924, 1,28/8/2017 3:19:15 PM
648 - 396 = ,252, 1,28/8/2017 3:19:15 PM
270 + 593 = ,863, 1,28/8/2017 3:19:15 PM
882 - 767 = ,115, 1,28/8/2017 3:19:15 PM
114 + 666 = ,780, 1,28/8/2017 3:19:15 PM
572 - 325 = ,247, 1,28/8/2017 3:19:15 PM
248 + 155 = ,403, 1,28/8/2017 3:19:15 PM
833 - 396 = ,437, 2,28/8/2017 3:27:57 PM
265 + 152 = ,417, 2,28/8/2017 3:27:57 PM
181 + 213 = ,394, 2,28/8/2017 3:27:57 PM
668 - 136 = ,532, 2,28/8/2017 3:27:57 PM
229 + 262 = ,491, 2,28/8/2017 3:27:57 PM
173 + 305 = ,478, 2,28/8/2017 3:27:57 PM
468 + 232 = ,700, 2,28/8/2017 3:27:57 PM
757 - 271 = ,486, 2,28/8/2017 3:27:57 PM
375 - 243 = ,132, 2,28/8/2017 3:27:57 PM
513 - 388 = ,125, 2,28/8/2017 3:27:57 PM
401 + 416 = ,817, 2,28/8/2017 3:27:57 PM
528 - 409 = ,119, 2,28/8/2017 3:27:57 PM
265 + 176 = ,441, 2,28/8/2017 3:27:57 PM
144 + 679 = ,823, 2,28/8/2017 3:27:57 PM
671 - 421 = ,250, 2,28/8/2017 3:27:57 PM
799 + 114 = ,913, 2,28/8/2017 3:27:57 PM
