Question,Your_Answer,Correct_Answer,Round,TimeStamp
55 + 128 = ,193, 183, 2,25/8/2017 3:39:39 PM
80 + 84 = ,, 164, 3,25/8/2017 3:52:54 PM
82 + 91 = ,, 173, 3,25/8/2017 3:52:54 PM
64 + 77 = ,, 141, 3,25/8/2017 3:52:54 PM
68 + 64 = ,, 132, 3,25/8/2017 3:52:54 PM
59 + 93 = ,, 152, 3,25/8/2017 3:52:54 PM
55 + 88 = ,, 143, 3,25/8/2017 3:52:54 PM
126 + 62 = ,, 188, 3,25/8/2017 3:52:54 PM
124 + 65 = ,, 189, 3,25/8/2017 3:52:54 PM
93 + 97 = ,, 190, 3,25/8/2017 3:52:54 PM
143 - 66 = ,67, 77, 9,25/8/2017 4:15:42 PM
77 + 67 = ,154, 144, 9,25/8/2017 4:15:42 PM
109 + 83 = ,191, 192, 11,25/8/2017 4:20:56 PM
150 - 86 = ,44, 64, 13,25/8/2017 4:26:16 PM
